year,Wet Storage,Dry Storage,Repository,Reprocessed Fuel
2000,21176,21570,0,42747
2001,22980,21570,0,44550
2002,21619,24747,0,46366
2003,20806,27394,0,48200
2004,20549,29511,0,50060
2005,20317,31629,0,51946
2006,20091,33747,0,53837
2007,19864,35864,0,55728
2008,19637,37982,0,57619
2009,19410,40099,0,59509
2010,19183,42217,0,61400
2011,19192,44099,0,63291
2012,19270,45912,0,65182
2013,19331,47741,0,67072
2014,19368,49595,0,68963
2015,19388,51475,0,70863
2016,19428,53364,0,72793
2017,19503,55255,0,74758
2018,19608,57146,0,76754
2019,19752,58287,0,78789
2020,19932,57177,3000,80859
2021,20146,56008,6000,82964
2022,20392,54779,9000,85104
2023,20674,53430,12000,87280
2024,20993,51921,15000,89499
2025,21346,50178,18000,91757
2026,21717,48301,21000,94050
2027,22089,46457,24000,96383
2028,22744,44645,27000,99040
2029,23200,42871,30000,101526
2030,23621,41112,33000,104012
2031,24540,39288,36000,107032
2032,25684,37377,39000,110310
2033,26750,35259,42000,113557
2034,26793,32861,45000,115838
2035,28237,30022,48000,119575
2036,28933,26851,51035,122626
2037,29893,23651,54137,126000
2038,30214,20437,57400,128994
2039,30949,17562,61000,132399
2040,31559,16146,63000,135682
2041,31756,16631,63000,138986
2042,31489,17440,63000,142198
2043,31672,18276,63000,145949
2044,32353,18366,63000,149481
2045,32609,19284,63000,153447
2046,32344,20033,63000,156751
2047,32126,20830,63000,160178
2048,32453,21403,63000,163951
2049,32407,22155,63000,167562
2050,32378,22835,63000,171190
2051,32414,23184,63000,174871
2052,32602,23024,63000,178630
2053,32331,22618,63000,182272
2054,32324,21830,63000,186123
2055,31944,21293,63000,189865
2056,32116,20343,63000,193765
2057,32414,19292,63000,197730
2058,32457,18502,63000,201748
2059,32595,17649,63000,205831
2060,32802,16736,63000,209976
2061,33050,15831,63000,214191
2062,33289,14960,63000,218489
2063,33708,13989,63000,222879
2064,34190,13134,63000,227452
2065,34606,12230,63000,231965
2066,35100,11400,63000,236648
2067,35585,10621,63000,241405
2068,36094,9852,63000,246224
2069,36607,9111,63000,251104
2070,37140,8386,63000,256037
2071,37684,7700,63000,261048
2072,38258,7048,63000,266147
2073,38821,6459,63000,271333
2074,39281,6031,63000,276616
2075,39943,5557,63000,282082
2076,40531,5166,63000,287580
2077,41150,4850,63000,293212
2078,41836,4570,63000,298968
2079,42612,4319,63000,304863
2080,43452,4109,63000,310894
2081,44311,3946,63000,317039
2082,45198,3844,63000,323289
2083,46091,3790,63000,329649
2084,47035,3785,63000,336030
2085,47842,3925,63000,342691
2086,48866,4109,63000,349387
2087,49816,4374,63000,356198
2088,51017,4704,63000,363397
2089,51964,4869,63000,370505
2090,52830,4743,63000,377613
2091,54217,4124,63000,385495
2092,55775,3262,63000,393527
2093,57330,2491,63000,401785
2094,57970,1789,63000,409033
2095,60104,1387,63000,417979
2096,61391,1456,63000,426277
2097,62943,1463,63000,435013
2098,64173,1560,63000,443491
2099,65534,1523,63000,452411
2100,67020,1530,63000,461322
